"Month","SO_nitrate","SO_ammonia","SO_phyt","SO_detritus","D_nitrate","D_ammonia","D_phyt","D_detritus","SI_nitrate","SI_ammonia","SI_phyt","SI_detritus","RIV_nitrate","RIV_ammonia","RIV_detritus","SO_ATM_nitrate_flux","SO_ATM_ammonia_flux","SI_ATM_nitrate_flux","SI_ATM_ammonia_flux","SI_other_nitrate_flux","SI_other_ammonia_flux","SO_other_nitrate_flux","SO_other_ammonia_flux","DO_nitrate","DO_ammonia","DO_detritus"
1,1.39922340787844,0.303321912929095,0.395611522264912,0.577528488363232,22.8534996430184,0.172154558949367,0.0132295559609542,0.23717406557848,0.053735967,0.023119779,0.184289122,0.035783731,10,1,0,0.00364469870718943,0.00219132058099256,0.00356312681307098,0.00212668415216926,0,0,0,0,34.6448787161152,0.120714338732614,0.112629323450348
2,1.13187665934972,0.275439091436973,0.323175652881057,0.423187848550442,22.5227484213402,0.17276562105509,0.0178637072559181,0.231443449719351,0.051336435,0.022087385,0.174679211,0.029047065,10,1,0,0.00361890979099725,0.00279280482305549,0.00358058191724626,0.00270731150337566,0,0,0,0,34.6883000919713,0.122517359936018,0.10423763372847
3,0.898455930943916,0.238805061662929,0.259844900463997,0.292843429744364,22.7081135040835,0.172008433253882,0.0181002156801213,0.213296444564535,0.040407985,0.017385445,0.153083997,0.021262489,10,1,0,0.00368686540970742,0.00310099561921909,0.00355190339697791,0.00330229774804159,0,0,0,0,34.7123766952642,0.123771261054205,0.0843043674422597
4,0.790444984489018,0.215117578369117,0.237930108270967,0.216356150579168,22.7368774048821,0.171712767008929,0.0135925036390123,0.200600207430975,0.044963007,0.019345232,0.158259256,0.022001803,10,1,0,0.00349295544548936,0.00295211569339569,0.0032380946435123,0.00284949763833235,0,0,0,0,34.6551648675673,0.122969054934726,0.0746285866866114
5,0.635404426225394,0.205619009713437,0.23941700829822,0.211326661500729,22.6173639528825,0.170281283046032,0.00933494246113161,0.174776976007452,0.064500417,0.027751159,0.167445626,0.024814096,10,1,0,0.00288740091759729,0.00237325103932022,0.00283892002506053,0.00225806013039369,0,0,0,0,34.5409517442676,0.123862980032203,0.0779058468905744
6,0.726326362645427,0.218950999135209,0.273747203273552,0.263769976420887,22.5478476073913,0.165120902771378,0.00906419068005594,0.139554067704463,0.083767099,0.036040605,0.173742496,0.030669211,10,1,0,0.0048863786616407,0.00311759234006916,0.00511170339970184,0.00309145468885877,0,0,0,0,34.4287699105139,0.124049563193499,0.0670847854923566
7,1.29997156990854,0.259504391094575,0.345931869562139,0.34093699317303,22.1333331632445,0.165330368020624,0.0171299528304855,0.12754524307029,0.038756853,0.016675049,0.165128371,0.03202102,10,1,0,0.00744537626873822,0.00401833676733077,0.00856910351543657,0.00437578692826258,0,0,0,0,34.3436486429752,0.122666561946839,0.0488401754851449
8,1.87131864562292,0.288871652963183,0.422307874039227,0.398575572432083,21.99375961826,0.173741913113119,0.0306778546792207,0.143593615994893,0.040334021,0.017353622,0.168140681,0.034361279,10,1,0,0.00492433133784012,0.00242922852869459,0.00451465946308891,0.00227625206303847,0,0,0,0,34.2939263098341,0.121220875340446,0.0336974429161743
9,1.90855125222967,0.311651841334284,0.491638404352681,0.470732531478312,22.2570577367806,0.177594894626275,0.0303074013603398,0.165705587452129,0.061756357,0.026570533,0.212286047,0.058975787,10,1,0,0.00491613472279693,0.00217942278444146,0.00414964102674276,0.00196911070296275,0,0,0,0,34.3156566863197,0.118320005819919,0.0272577275793481
10,1.72425737006825,0.346189855002869,0.532244250027528,0.587620216478811,22.4012594557692,0.174283230732297,0.0148813001792635,0.192509970932429,0.084646698,0.036419051,0.230549811,0.068589436,10,1,0,0.00303063205280234,0.00189805956190443,0.00256491946496396,0.00188144410462526,0,0,0,0,34.3382196593473,0.116709455654639,0.0401675169746022
11,1.32563210987252,0.32030389143762,0.404592094083339,0.644267415765708,22.6494532411897,0.170337073377305,0.00602411742572368,0.227142354213043,0.089083108,0.038327806,0.215059782,0.051712557,10,1,0,0.00294059427687898,0.00173566081295056,0.00251013850737807,0.00166652279274006,0,0,0,0,34.456434819335,0.11624638465373,0.065223071753893
12,1.32517753749959,0.298661378722964,0.374766378971002,0.643608006220784,22.9491381857644,0.171960427583132,0.00790939732546931,0.24293957185797,0.097573262,0.041980676,0.213935347,0.048836306,10,1,0,0.00358572745296572,0.00189810925300667,0.00341555805370418,0.00186974593397436,0,0,0,0,34.4342812825588,0.11873147127038,0.0990847098012449
